en;it;es;Fr
\nb[KING]I want to give you a reward for what you've done.§Please, accept it.;\nb[RE]Voglio donarti una ricompensa per ciò che hai fatto.§Accettala.;\nb[REY]Me gustaría darte una recompensa por todo lo que§has hecho.§Acéptala, por favor.;\nb[ROI]Je souhaite te donner une récompense pour tes§hauts faits.§Je t'en prie, accepte-là.
\nb[KING]For every enemy you defeated!;\nb[RE]Per ogni nemico che hai sconfitto!;\nb[REY]Por todos los enemigos que has derrotado!;\nb[ROI]Pour chaque ennemi vaincu !
\nb[KING]And now go, go! Resume your adventure!;\nb[RE]E ora va, va! Ricomincia la tua avventura!;\nb[REY]Ahora ve, ve! Sigue con tu aventura!;\nb[ROI]Et maintenant, va, va ! Repars à l'aventure !
\c[9]Thanks for playing.\|\|\^;\c[9]Grazie per aver giocato.\|\|\^;\c[9]Gracias por jugar.\|\|\^;\c[9]Merci d'avoir joué.\|\|\^
\c[9]In memory of§Zio Michele.\|\|\^;\c[9]In memoria di§Zio Michele.\|\|\^;\c[9]En memoria de§Zio Michele.\|\|\^;\c[9]A la mémoire de§Zio Michele.\|\|\^
\c[9]A game created by§Stefano Mercadante.\|\|\^;\c[9]Un gioco realizzato da§Stefano Mercadante.\|\|\^;\c[9]Un juego creado por§Stefano Mercadante.\|\|\^;\c[9]Un jeu crée par§Stefano Mercadante.\|\|\^
\c[9]With the great help of...\|\|\^;\c[9]Con il grande aiuto di...\|\|\^;\c[9]Con la gran ayuda de...\|\|\^;\c[9]Avec l'aide de...\|\|\^
\c[9]ARES VAIARELLI§for English translation review.\|\|\|\^;\c[9]ARES VAIARELLI§per la revisione dei testi in inglese.\|\|\|\^;\c[9]ARES VAIARELLI§por la revisión de la traducción al Inglés.\|\|\|\^;\c[9]ARES VAIARELLI§pour la supervision de la traduction anglaise.\|\|\|\^
\c[9]NERGHRAY§for the track:§Title.\|\|\^;\c[9]NERGHRAY§per la traccia:§Title.\|\|\^;\c[9]NERGHRAY§por la canción:§Title.\|\|\^;\c[9]NERGHRAY§pour le morceau :§Title.\|\|\^
\c[9]RAFFAELE MURRI§for the tracks:§Castle, Battle.\|\|\|\|\^;\c[9]RAFFAELE MURRI§per le tracce:§Castle, Battle.\|\|\|\|\^;\c[9]RAFFAELE MURRI§por las canciones:§Castle, Battle.\|\|\|\|\^;\c[9]RAFFAELE MURRI§pour les morceaux :§Castle, Battle.\|\|\|\|\^
\c[9]JOHN LEONARD FRENCH§for the tracks:§Desert, Volcano, Water City, Finalboss Domain.\|\|\|\|\^;\c[9]JOHN LEONARD FRENCH§per le tracce:§Desert, Volcano, Water City, Finalboss Domain.\|\|\|\|\^;\c[9]JOHN LEONARD FRENCH§por las canciones:§Desert, Volcano, Water City, Finalboss Domain.\|\|\|\|\^;\c[9]JOHN LEONARD FRENCH§pour les morceaux :§Desert, Volcano, Water City, Finalboss Domain.\|\|\|\|\^
\c[9]RPG MAKER 3 MUSIC PACK§for the tracks:§Forest, Wild Valley, Finalboss Battle 2.\|\|\|\|\^;\c[9]RPG MAKER 3 MUSIC PACK§per le tracce:§Forest, Wild Valley, Finalboss Battle 2.\|\|\|\|\^;\c[9]RPG MAKER 3 MUSIC PACK§por las canciones:§Forest, Wild Valley, Finalboss Battle 2.\|\|\|\|\^;\c[9]RPG MAKER 3 MUSIC PACK§pour les morceaux :§Forest, Wild Valley, Finalboss Battle 2.\|\|\|\|\^
\c[9]DIBUR§for the track:§Finalboss Battle 1.\|\|\^;\c[9]DIBUR§per la traccia:§Finalboss Battle 1.\|\|\^;\c[9]DIBUR§Por la canción:§Finalboss Battle 1.\|\|\^;\c[9]DIBUR§pour le morceau :§Finalboss Battle 1.\|\|\^
\c[9]RECLAIMEDGLORY§for the track:§Victory.\|\|\^;\c[9]RECLAIMEDGLORY§per la traccia:§Victory.\|\|\^;\c[9]RECLAIMEDGLORY§por la canción:§Victory.\|\|\^;\c[9]RECLAIMEDGLORY§pour le morceau :§Victory.\|\|\^
\c[9]AUDIONAUTIX§for the track:§Glaciers.\|\|\^;\c[9]AUDIONAUTIX§per la traccia:§Glaciers.\|\|\^;\c[9]AUDIONAUTIX§por la canción:§Glaciers.\|\|\^;\c[9]AUDIONAUTIX§pour le morceau :§Glaciers.\|\|\^
\c[9]NERGHRAY, DIAMOND, POLAKKO,§AKM, RETURNOFHYLIAN,§GUARDIAN OF IRAEL, UCA§for beta testing the game.\|\|\|\|\^;\c[9]NERGHRAY, DIAMOND, POLAKKO,§AKM, RETURNOFHYLIAN,§GUARDIAN OF IRAEL, UCA§per avere betatestato il gioco.\|\|\|\|\^;\c[9]NERGHRAY, DIAMOND, POLAKKO,§AKM, RETURNOFHYLIAN,§GUARDIAN OF IRAEL, UCA§por probar la versión beta del juego.\|\|\|\|\^;\c[9]NERGHRAY, DIAMOND, POLAKKO,§AKM, RETURNOFHYLIAN,§GUARDIAN OF IRAEL, UCA§pour avoir beta-testé le jeu.\|\|\|\|\^
\c[9]TO YOU§For playing Our Hero!\|\|\^;\c[9]A TE§Per aver giocato Our Hero!\|\|\^;\c[9]A TI§por jugar Our Hero!\|\|\^;\c[9]TO YOU§pour avoir joué Our Hero!\|\|\^
\c[9]Try to unlock all the characters in the Characters§Gallery and to obtain all the weapons to complete§the 100% of the game!\|\|\|\|\^;\c[9]Prova a sbloccare tutti i personaggi nella Galleria§dei Personaggi e ad ottenere tutte le armi del gioco§per completare il gioco al 100%!\|\|\|\|\^;\c[9]Intenta desbloquear todos los personajes en la§Galería y obtener todas las armas para completar§el 100% del juego!\|\|\|\|\^;\c[9]Essaie de débloquer tous les personnages dans la§Galerie des Personnages et obtenir toutes les armes§pour compléter le jeu à 100% !\|\|\|\|\^
\c[9]See you soon...\|\|\^;\c[9]A presto...\|\|\^;\c[9]Hasta pronto...\|\|\^;\c[9]A bientôt...\|\|\^
\c[10]\>                       You have unlocked the§\>                             ARENA MODE§\>                         in the King's Castle!;\c[10]\>                       Hai sbloccato la modalità§\>                         BATTAGLIA IN ARENA§\>                           nel Castello del Re!;\c[10]\>                          Has desbloqueado el§\>                                MODO ARENA§\>                         En el Castillo del Rey!;\c[10]\>                            Tu as débloqué le§\>                                MODE ARENE§\>                             au Palais Royal !
\c[9]NICOLAS EYARALAR§for the Spanish translation.\|\|\|\^;\c[9]NICOLAS EYARALAR§per la traduzione in spagnolo.\|\|\|\^;\c[9]NICOLAS EYARALAR§por la traducción al Español.\|\|\|\^;\c[9]NICOLAS EYARALAR§pour la traduction espagnole.\|\|\|\^
\c[9]JOHAN MALTA§for the French translation.\|\|\|\^;\c[9]JOHAN MALTA§per la traduzione in francese.\|\|\|\^;\c[9]JOHAN MALTA§por la traducción al Francés.\|\|\|\^;\c[9]JOHAN MALTA§pour la traduction française.\|\|\|\^
