en;it;es;Fr
\nb[OURHERO]I'm sorry, in a game the hero never replies to what§the people have to say.;\nb[NOSTROEROE]Nei giochi l'eroe non risponde mai a quello che gli§dice la gente, anche se è lui ad attaccar bottone.;\nb[NUESTROHEROE]Lo siento, en los juegos el héroe nunca responde a lo§que la gente le dice.;\nb[NOTREHEROS]Je suis désolé, dans un jeu le héros ne répond§jamais aux gens.
\nb[OURHERO]Why are you laughing?;\nb[NOSTROEROE]Che ti ridi?;\nb[NUESTROHEROE]Por qué te ries?;\nb[NOTREHEROS]Pourquoi ris-tu ?
I'm so happy to run around in the King's courtyard!;Mi piace correre felice nel giardino del Re!;Estoy tan feliz de correr por el patio del Rey!;Je suis si heureux de courir dans la cour du château !
I want to go on an adventure!;Voglio avventurarmi in un un'avventura!;Quiero ir a una aventura!;Je veux partir à l'aventure !
\nb[OURHERO]I want a bandana like yours!;\nb[NOSTROEROE]Voglio anch'io una bandana come la tua!;\nb[NUESTROHEROE]Quiero un pañuelo como el tuyo!;\nb[NOTREHEROS]Je veux un bandana comme le tien !
No, it's mine.;Na, è mia.;No, es mío.;Non, c'est le mien.
Hey! Is everything all right?;Hey! Tutto bene?;Oye! Todo bien?;Hé ! Tout va bien ?
\nb[OURHERO]Sure!;\nb[NOSTROEROE]Sì!;\nb[NUESTROHEROE]Si!;\nb[NOTREHEROS]Bien sûr !
Let me sell you something interesting...;Se vuoi posso venderti qualcosa di interessante...;Dejame venderte algo interesante...;Permets-moi de te vendre quelque chose§d'intéressant...
Buy something§Check for quests§Cancel;Compra qualcosa§Cerca missione§Annulla;Comprar algo§Ver misiones§Cancelar;Acheter quelque chose§Chercher une mission§Annuler
You already have a mission in progress, you cannot§start a new one!;Non puoi cominciare una nuova missione se prima§non completi quella in corso!;Ya tienes una misión en curso, no puedes empezar§una nueva!;Tu as déjà une mission en cours, tu ne peux pas§en démarrer une nouvelle !
I have a mission for you...\|§Someone thought the Forest would make for a good§garbage dump and threw around a bunch of old§crates...;Avrei un compito da affidarti...\|§Nella foresta sono state buttate delle casse che, per§il Re, rovinano la bellezza del paesaggio...;Tengo una misión para ti...\|§Alguien pensó que el bosque sería un buen basurero§y arrojó un monton de cajas vacías...;J'ai une mission pour toi...\|§Quelqu'un a pensé que la Forêt ferait une bonne§décharge et a jeté un paquet de caisses...
Your mission is to find and destroy all these crates!§The problem is that we don't know exactly how§many crates there are...;La tua missione è trovarle e distruggerle tutte!§Non lo sappiamo bene quante siano...;;Ta mission est de trouver et détruire toutes ces§caisses ! Le problème est qu'on ne sait pas§exactement combien il y en a...
Do you accept the mission?§ACCEPT§REFUSE;Accetti la missione?§ACCETTA§RIFIUTA;Aceptas la misión?§ACEPTAR§RECHAZAR;Acceptes-tu la mission?§ACCEPTER§REFUSER
;;;
Great! We're counting on you, Ourhero!;Perfetto, contiamo su di te, Nostroeroe!;Genial! Contamos contigo, Nuestrohéroe!;Génial ! On compte sur toi, Notrehéros !
Buy something§Mission recap§Cancel;Compra qualcosa§Rapporto missione§Annulla;Comprar algo§Resumen de la misión§Cancelar;Acheter quelque chose§Rapport de mission§Annuler
You have destroyed \v[16] crates out of 21.;Fin'ora hai distrutto \v[16] casse su 21.;Has destruido \v[16] cajas de 21.;Tu as détruit \v[16] caisses sur 21.
Awesome! You got rid of all those crates!§You deserve a reward, from the King himself!;Complimenti, hai ripulito la foresta da quelle casse,§meriti una ricompensa, da parte del Re!;Increíble! Te deshiciste de todas esas cajas!§Te mereces una recompensa, del propio Rey!;Impeccable ! Tu t'es débarrassé de toutes ces§caisses ! Tu mérites une récompense, de la part du§Roi en personne !
Buy something§Cancel;Compra qualcosa§Annulla;Comprar algo§Cancelar;Acheter quelque chose§Annuler
I have a new mission for you!\|§There are enemies wandering around the Wild Valley...;Ho una nuova missione da affidarti!\|§Nella Valle Selvaggia si aggirano alcuni nemici...;Tengo una nueva misión para ti!\|§Hay enemigos deambulando por el Valle Salvaje...;J'ai une nouvelle mission pour toi !\|§Des ennemis se déplacent dans la Vallée Sauvage...
You have to kill them all!§They are trying to assault the King's Castle!§You have to stop them before it's too late!;Devi eliminarli tutti quanti!§Stanno cercando di attaccare il Castello del Re!§Fermali prima che sia troppo tardi!;Tienes que matarlos a todos!§Están intentando asaltar el Castillo del Rey!§Tienes que detenerlos antes que sea demasiado§tarde!;Elimine-les!§Ils tentent de mener l'assaut contre le Palais Royal !§Tu dois les arrêter pendant qu'il est encore temps !
You have killed \v[16] enemies out of 29.;Fin'ora hai eliminato \v[16] nemici su 29.;Has matado \v[16] enemigos de 29.;Tu as éliminé \v[16] ennemis sur 29.
Awesome, you have killed all the enemies!§Here is your reward!;Complimenti, hai sconfitto tutti i nemici!§Eccoti il premio!;Impresionante, has matado a todos los enemigos!§Toma tu recompensa!;Bravo, tu as éliminé tous les ennemis !§Voici ta récompense !
\nb[BUTCHER]Do you want to buy something?;\nb[VENDITORE DI SALUMI]Vuole acquistare qualcosa?;\nb[CARNICERO]Quieres comprar algo?;\nb[BOUCHER]Veux-tu acheter quelque chose ?
\nb[WEAPONS SELLER]Good morning, may I help you?;\nb[NEGOZIO DI ARMI]Salve, come posso esserle utile?;\nb[VENDEDOR DE ARMAS]Buenos días, puedo ayudarle?;\nb[MARCHAND D'ARMES]Bonjour, puis-je vous aider ?
Forest of the All­Eye Monster;Foresta dell'Occhio Sgorbio;Bosque del Monstruo todo-ojos;Forêt du Monstre à l'Oeil de la Providence
Wild Valley;Valle Selvaggia;Valle Salvaje;Vallée Sauvage
I can smith and enhance all kinds of weapons.;Io mi occupo della costruzione di spade e del§potenziamento di armi di ogni genere.;Puedo forjar y mejorar todo tipo de armas.;Je peux forger et améliorer toutes sortes d'armes.
But I don't think you need this right now.;Ma non credo tu ora ne possa avere bisogno...;Pero no creo que necesites esto ahora mismo.;Mais je ne pense pas que tu en aies besoin§immédiatement.
I heard the path you're supposed to take to continue on§your quest is blocked by rocks barring the way to§the East...;So che il Re ti ha incaricato di distruggere quelle§rocce che bloccano il passaggio ad est...;He escuchado que el camino que tienes que tomar§para continuar tu búsqueda está bloqueado por§rocas que te impiden ir hacia el Este...;J'ai entendu parler du chemin que tu es censé§prendre pour continuer ta quête est bloquée par§des rochers barrant la route vers l'Est...
I'll temper your Revolt Sword. It should make it§strong enough to break through those rocks!;Bè, io forse potrei potenziare la tua Spada della§Rivolta in modo che tu riesca a spaccare anche delle§rocce potenti come quelle!;Templaré tu Espada de Revuelta. Debería hacerla lo§suficientemente fuerte para romper esas rocas!;Je vais tempérer ton Epée de la Révolte. Cela devrait§la rendre assez solide pour te frayer un chemin à§travers la roche !
\nb[OURHERO]Amazing!;\nb[NOSTROEROE]Fantastico!;\nb[NUESTROHEROE]Asombroso!;\nb[NOTREHEROS]Fantastique !
The problem is...\. I don't remember how to do it.;Solo che...\. Non mi ricordo come si fa.;El problema es...\. No recuerdo como hacerlo.;Le problème c'est que...\. J'ai oublié comment faire.
I need a rare book on swordsmithing techniques in§order to do that.;Ho bisogno di un libro, dove c'è scritto tutto, passo§passo, su come potenziare la tua spada!;Necesito un libro raro sobre técnicas de forja de§espadas para poder hacer eso.;J'ai besoin d'un livre de techniques de forge très rare§pour faire ça.
It's called 'Book of the Forgotten Crafts', and it§should be hidden somewhere in the Forest of the§All­Eye Monster!;Si chiama 'Libro delle Doti Perdute' e dovrebbe§essere nascosto da qualche parte nella Foresta§dell'Occhio Sgorbio!;Se llama 'Libro de las Manualidades Olvidadas', y§debería estar escondido en algún lugar del bosque§del Monstruo todo-ojos.;Il s'intitule le 'Le Livre des Arts Oubliés', et il§devrait être caché quelque part dans la Forêt du§Monstre à l'Oeil de la Providence !
You have to find the Book of the Forgotten Crafts!\.§This way I can upgrade your sword...\.§You can find the book in the Forest of the All­Eye§Monster!;Devi trovare il mio Libro delle Doti Perdute!\.§Così potrò potenziare la tua spada...\.§Si trova nella Foresta dell'Occhio Sgorbio!;Tienes que encontrar el Libro de las Manualidades§Olvidadas!\. De esta manera podré mejorar tu§espada...\. Puedes encontrar el libro en el Bosque del§Monstruo todo-ojos!;Tu dois trouver le Livre des Arts Oubliés !\.§Ainsi, je pourrai améliorer ton épée...\.§Tu peux trouver le livre dans la Forêt du Monstre à§l'Oeil de la Providence !
You found the Book of the Forgotten Crafts,§awesome!\.§Now I can upgrade your Revolt Sword!;Hai trovato il Libro delle Doti Perdute, grande!\.§Ora potrò potenziare la tua Spada della Rivolta!;;Tu as trouvé le Livre des Arts Oubliés, génial !\.§Maintenant, je peux améliorer ton Epée de la§Révolte !
\gNow I only need \v[34] Dindini for the rest of the§materials and I can proceed with the upgrade.§Pay \v[34] Dindini§Don't pay;\gOra ho solo bisogno di \v[34] Dindini per le materie§prime che mi servono per potenziare questa spada!§Paga \v[34] Dindini§Non pagare;\gAhora solo necesito \v[34] Dindini para el resto de los§materiales y poder continuar con la mejora.§Pagar \v[34] Dindini§No pagar;\gMaintenant, j'ai seulement besoin \v[34] Dindini pour le§reste des matériaux et je pourrai améliorer ton épée.§Payer \v[34] Dindini§Ne pas payer
Here we go, your enhanced Revolt Sword!;Perfetto, ecco la tua Spada della Rivolta potenziata!;Aquí tienes, tu Espada de Revuelta mejorada!;Voici, ton Epée de la Révolte a été améliorée !
You don't have enough Dindini!\|§You can go to the forest to fight some baddies, so§you can get their loots!;Non hai abbastanza Dindini!\|§Vai nella foresta a combattere qualche cattivo, così§potrai impossessarti dei loro bottini!;No tienes suficientes Dindini!\|§Puedes ir al bosque a luchar contra algunos malos,§para conseguir sus botines!;Tu n'as pas assez de Dindini!\|§Retourne en forêt pour battre quelques vilains, et§récupère leur butin !
;;;
;;;
Do you have a Revolt Sword you want to upgrade?§Upgrade sword§Cancel;Hai una Spada della Rivolta che vuoi potenziare?§Potenzia spada§Annulla;Tienes una Espada de Revuelta que quieras mejorar?§Mejorar espada§Cancelar;As-tu une Epée de la Révolte à améliorer ?§Améliorer l'épée§Annuler
Go experience the new power of your Revolt Sword!;Prova subito la potenza della tua nuova spada!;Ve a probar el nuevo poder de tu Espada de Revuelta!;Va et expérimente la nouvelle puissance de ton§Epée de la Révolte !
\nb[OURHERO]I won't find the Teorhemas Crystal over here...;\nb[NOSTROEROE]Non troverò il Cristallo di Teorhemas da questa§parte...;\nb[NUESTROHEROE]No encontraré el Cristal de Teorhemas por aquí...;\nb[NOTREHEROS]Je ne trouverai pas le Cristal de Teorhemas par ici...
